freqs,Hhm,Hlm,Hhp,Hlp
0.001,0.0083163297383578,0.991810938783402,9.99501868251143,-0.083383790428385
0.00100693863147603,0.00831584100014849,0.991813198423978,10.0647988801697,-0.0839548299357848
0.00101392540755882,0.00831534524191709,0.991815489712577,10.1350726529795,-0.0845296741045981
0.00102096066230605,0.00831484236000985,0.991817813094737,10.2058436374208,-0.0851083460405168
0.00102804473209331,0.00831433224933907,0.991820169022856,10.2771154999647,-0.0856908689405632
0.00103517795563018,0.00831381480321147,0.991822557955421,10.3488919375763,-0.0862772660926948
0.0010423606739764,0.0083132899132481,0.991824980357577,10.4211766780968,-0.086867560874749
0.00104959323055823,0.00831275746932152,0.991827436701085,10.4939734807005,-0.0874617767537728
0.0010568759711848,0.00831221735970476,0.991829927464452,10.5672861359315,-0.0880599372850595
0.00106420924406472,0.00831166947095593,0.991832453132903,10.6411184662267,-0.0886620661110493
0.00107159339982267,0.00831111368774153,0.991835014198841,10.7154743264723,-0.0892681869606082
0.00107902879151618,0.00831054989310802,0.991837611161343,10.7903576039397,-0.0898783236479187
0.00108651577465254,0.00830997796819541,0.991840244527027,10.8657722189966,-0.0904925000710586
0.00109405470720574,0.00830939779233227,0.991842914809333,10.941722125391,-0.0911107402117909
0.00110164594963366,0.00830880924292911,0.991845622529343,11.0182113106667,-0.0917330681333625
0.00110928986489522,0.00830821219548042,0.991848368215441,11.0952437964826,-0.0923595079801121
0.00111698681846782,0.00830760652366464,0.991851152403671,11.1728236389736,-0.0929900839758891
0.00112473717836475,0.00830699209903797,0.991853975637586,11.2509549293687,-0.0936248204227632
0.00113254131515281,0.00830636879124236,0.991856838468686,11.3296417941957,-0.0942637416998502
0.00114039960197003,0.0083057364679041,0.991859741456298,11.4088883957159,-0.0949068722618951
0.00114831241454351,0.00830509499451709,0.991862685167686,11.4886989325415,-0.0955542366378192
0.00115628013120738,0.00830444423445975,0.991865670178389,11.5690776398963,-0.0962058594292581
0.00116430313292088,0.00830378404912788,0.991868697072033,11.6500287899631,-0.0968617653090156
0.0011723818032866,0.00830311429744517,0.991871766440817,11.7315566928511,-0.0975219790196805
0.00118051652856881,0.00830243483653968,0.991874878885201,11.8136656961259,-0.0981865253715717
0.0011887076977119,0.00830174552086561,0.99187803501442,11.8963601864784,-0.0988554292418266
0.00119695570235904,0.00830104620288684,0.991881235446394,11.9796445890565,-0.0995287155716102
0.00120526093687084,0.00830033673261311,0.991884480808024,12.0635233687824,-0.100206409365336
0.00121362379834424,0.00829961695778039,0.991887771734968,12.1480010303157,-0.100888535688204
0.00122204468663149,0.00829888672371884,0.991891108872322,12.2330821188089,-0.101575119664419
0.00123052400435926,0.00829814587315134,0.991894492874303,12.3187712206662,-0.10226618647535
0.00123906215694792,0.00829739424647405,0.991897924404369,12.4050729635288,-0.102961761357422
0.00124765955263087,0.00829663168162301,0.991901404135975,12.4919920170462,-0.103661869599943
0.00125631660247412,0.00829585801382803,0.991904932751796,12.5795330936083,-0.104366536543106
0.0012650337203959,0.00829507307580345,0.991908510944692,12.6677009486566,-0.1050757875755
0.00127381132318648,0.00829427669755986,0.991912139417264,12.7565003814431,-0.105789648132119
0.00128264983052806,0.00829346870635961,0.99191581888235,12.8459362355872,-0.106508143691851
0.00129154966501488,0.00829264892699757,0.991919550063098,12.936013399179,-0.107231299774843
0.00130051125217341,0.00829181718106958,0.991923333693056,13.0267368064689,-0.107959141940321
0.00130953502048267,0.00829097328775145,0.991927170516288,13.1181114371463,-0.108691695783856
0.00131862140139475,0.00829011706303584,0.991931061287759,13.2101423182062,-0.109428986934753
0.00132777082935543,0.00828924832002017,0.99193500677325,13.3028345238951,-0.110171041053011
0.00133698374182495,0.00828836686912271,0.991939007749635,13.3961931760836,-0.110917883827064
0.00134626057929891,0.00828747251737517,0.99194306500488,13.4902234459355,-0.111669540970357
0.00135560178532937,0.00828656506890591,0.991947179338685,13.5849305537345,-0.112426038218381
0.00136500780654601,0.00828564432471583,0.991951351561982,13.6803197698742,-0.113187401326326
0.00137447909267754,0.00828471008258202,0.991955582497721,13.7763964155916,-0.113953656064733
0.00138401609657313,0.00828376213699943,0.991959872980538,13.8731658638579,-0.114724828217269
0.00139361927422414,0.00828280027941229,0.991964223857347,13.9706335394219,-0.115500943576638
0.00140328908478587,0.00828182429754762,0.99196863598731,14.0688049207779,-0.116282027942019
0.00141302599059953,0.00828083397610231,0.991973110241982,14.1676855396171,-0.1170681071145
0.00142283045721435,0.00827982909609021,0.991977647505816,14.2672809826267,-0.11785920689414
0.00143270295340983,0.00827880943504369,0.991982248675707,14.3675968919647,-0.11865535307631
0.00144264395121816,0.00827777476700206,0.991986914661962,14.4686389657716,-0.119456571447054
0.00145265392594678,0.00827672486229703,0.991991646388003,14.570412959555,-0.120262887780264
0.00146273335620113,0.00827565948763212,0.991996444790595,14.6729246866961,-0.121074327832638
0.0014728827239075,0.00827457840593289,0.992001310820309,14.7761800194151,-0.121890917340241
0.0014831025143361,0.00827348137623739,0.992006245441589,14.8801848899278,-0.122712682013987
0.00149339321612425,0.00827236815384586,0.992011249632691,14.9849452908404,-0.123539647535061
0.00150375532129974,0.00827123848995248,0.992016324386354,15.0904672767549,-0.124371839550757
0.00151418932530435,0.00827009213188031,0.992021470709855,15.196756964641,-0.125209283669826
0.00152469572701757,0.00826892882284411,0.992026689625003,15.303820535126,-0.1260520054575
0.00153527502878042,0.00826774830184871,0.992031982168645,15.4116642336747,-0.126900030430813
0.00154592773641948,0.00826655030370855,0.992037349392839,15.5202943712941,-0.127753384053677
