freqs,wHm,wLm
0.001,0.00796691693927555,281440623262464
0.00100693863147603,0.00796644873574295,3.6028797018964e+16
0.00101392540755882,0.00796597380707315,281466387169260
0.00102096066230605,0.00796549205408839,3.6028797018964e+16
0.00102804473209331,0.00796500337608455,3.6028797018964e+16
0.00103517795563018,0.00796450767080611,3.6028797018964e+16
0.0010423606739764,0.0079640048344209,Inf
0.00104959323055823,0.00796349476149423,3.6028797018964e+16
0.0010568759711848,0.00796297734496271,281474976710656
0.00106420924406472,0.0079624524761075,1.8014398509482e+16
0.00107159339982267,0.0079619200445272,281440623262464
0.00107902879151618,0.00796137993811019,140733193584630
0.00108651577465254,0.00796083204300654,281440623262464
0.00109405470720574,0.0079602762435994,281466387169260
0.00110164594963366,0.0079597124224759,1.8014398509482e+16
0.00110928986489522,0.00795914046039757,3.6028797018964e+16
0.00111698681846782,0.0079585602362702,3.6028797018964e+16
0.00112473717836475,0.00795797162711323,281440623262464
0.00113254131515281,0.00795737450802855,281466387169260
0.00114039960197003,0.00795676875216884,Inf
0.00114831241454351,0.00795615423070522,3.6028797018964e+16
0.00115628013120738,0.00795553081279454,1.20095990063213e+16
0.00116430313292088,0.00795489836554591,281466387169260
0.0011723818032866,0.00795425675398674,1.20095990063213e+16
0.00118051652856881,0.00795360584102824,281440623262464
0.0011887076977119,0.00795294548743018,281466387169260
0.00119695570235904,0.0079522755517652,3.6028797018964e+16
0.00120526093687084,0.00795159589038241,1.8014398509482e+16
0.00121362379834424,0.00795090635737031,281440623262464
0.00122204468663149,0.00795020680451926,281466387169260
0.00123052400435926,0.00794949708128309,281466387169260
0.00123906215694792,0.00794877703474017,1.20095990063213e+16
0.00124765955263087,0.00794804650955381,281474976710656
0.00125631660247412,0.0079473053479319,3.6028797018964e+16
0.0012650337203959,0.00794655338958594,281474976710656
0.00127381132318648,0.00794579047168933,1.8014398509482e+16
0.00128264983052806,0.00794501642883499,281440623262464
0.00129154966501488,0.00794423109299214,1.8014398509482e+16
0.00130051125217341,0.0079434342934625,281474976710656
0.00130953502048267,0.00794262585683563,281440623262464
0.00131862140139475,0.00794180560694357,Inf
0.00132777082935543,0.00794097336481467,9.00719925474099e+15
0.00133698374182495,0.0079401289486267,Inf
0.00134626057929891,0.00793927217365907,1.8014398509482e+16
0.00135560178532937,0.00793840285224438,Inf
0.00136500780654601,0.00793752079371904,281474976710656
0.00137447909267754,0.00793662580437311,1.8014398509482e+16
0.00138401609657313,0.00793571768739933,9.00719925474099e+15
0.00139361927422414,0.00793479624284125,9.00719925474099e+15
0.00140328908478587,0.00793386126754055,281337638338630
0.00141302599059953,0.00793291255508345,281440623262464
0.00142283045721435,0.00793194989574627,9.00719925474099e+15
0.00143270295340983,0.00793097307644006,Inf
0.00144264395121816,0.0079299818806544,9.00719925474099e+15
0.00145265392594678,0.00792897608840018,281474976710656
0.00146273335620113,0.00792795547615159,281440623262464
0.0014728827239075,0.007926919816787,281440623262464
0.0014831025143361,0.00792586887952909,281474976710656
0.00149339321612425,0.0079248024298839,281474976710656
0.00150375532129974,0.00792372022957891,140733193584630
0.00151418932530435,0.00792262203650023,281474976710656
0.00152469572701757,0.00792150760462874,281440623262464
0.00153527502878042,0.00792037668397526,Inf
0.00154592773641948,0.0079192290205147,281440623262464
0.00155665435927106,0.00791806435611926,140733193584630
0.00156745541020559,0.00791688242849051,281474976710656
0.00157833140565212,0.00791568297109056,9.00719925474099e+15
0.00158928286562298,0.00791446571307211,281440623262464
0.0016003103137387,0.00791323037920753,281440623262464
0.00161141427725302,0.00791197668981681,9.00719925474099e+15
0.00162259528707809,0.00791070436069459,281440623262464
0.00163385387780986,0.00790941310303601,Inf
0.00164519058775366,0.00790810262336159,Inf
0.00165660595894991,0.00790677262344099,Inf
0.00166810053720006,0.00790542280021577,281440623262464
0.00167967487209265,0.00790405284572104,Inf
0.00169132951702965,0.00790266244700608,140737488355328
0.00170306502925284,0.00790125128605388,281474976710656
0.00171488196987054,0.0078998190396996,281474976710656
0.00172678090388436,0.00789836537954805,Inf
0.00173876240021625,0.00789688997189005,140733193584630
0.00175082703173573,0.00789539247761772,281337638338630
0.00176297537528721,0.00789387255213886,1.8014398509482e+16
0.00177520801171763,0.00789232984529016,1.8014398509482e+16
0.00178752552590424,0.00789076400124946,281440623262464
0.00179992850678248,0.007889174658447,281440623262464
0.00181241754737424,0.00788756144947567,Inf
0.00182499324481615,0.00788592400100031,281440623262464
0.00183765620038817,0.00788426193366599,281474976710656
0.0018504070195423,0.00788257486200541,1.8014398509482e+16
0.00186324631193156,0.00788086239434539,281440623262464
0.00187617469143912,0.00787912413271242,Inf
0.00188919277620767,0.00787735967273738,281474976710656
0.00190230118866894,0.00787556860355947,281440623262464
0.00191550055557353,0.00787375050772926,1.8014398509482e+16
0.00192879150802078,0.00787190496111105,281440623262464
0.00194217468148903,0.00787003153278449,281440623262464
0.00195565071586595,0.00786812978494552,281440623262464
0.00196922025547917,0.00786619927280669,1.8014398509482e+16
0.00198288394912707,0.00786423954449687,281440623262464
0.00199664245010979,0.00786225014096056,Inf
0.0020104964162605,0.00786023059585657,281440623262464
0.0020244465099768,0.00785818043545644,6.00479950316066e+15
0.00203849339825246,0.00785609917854247,281337638338630
0.00205263775270925,0.00785398633630555,1.8014398509482e+16
0.00206688024962908,0.00785184141224279,281337638338630
0.00208122156998634,0.00784966390205504,281474976710656
0.00209566239948043,0.0078474532935445,281337638338630
0.0021102034285686,0.0078452090665124,6.00479950316066e+15
0.00212484535249888,0.0078429306926569,281474976710656
