freqs,W1,W2
0.1,9.99669398534465,0.00103609311135715
0.100926219098705,9.99663248057028,0.00103676880967553
0.101861017015598,9.99656983195974,0.00103745723246661
0.102804473209331,9.99650601825526,0.00103815862211986
0.103756667874519,9.99644101780456,0.00103887322574345
0.104717681948552,9.99637480855355,0.00103960129525977
0.10568759711848,9.99630736803888,0.00104034308750303
0.106666495827954,9.99623867338037,0.00104109886431892
0.107654461284232,9.99616870127332,0.00104186889266641
0.108651577465254,9.99609742798066,0.00104265344472187
0.109657929126781,9.99602482932491,0.00104345279798534
0.110673601809597,9.99595088068006,0.00104426723538917
0.111698681846782,9.9958755569633,0.00104509704540901
0.112733256371049,9.99579883262654,0.00104594252217723
0.113777413322149,9.99572068164782,0.00104680396559889
0.114831241454351,9.99564107752256,0.00104768168147013
0.115894830343981,9.99555999325463,0.00104857598159929
0.116968270397039,9.99547740134725,0.00104948718393063
0.118051652856881,9.99539327379377,0.00105041561267085
0.119145069811978,9.99530758206825,0.00105136159841829
0.120248614203741,9.99522029711584,0.00105232547829519
0.121362379834424,9.99513138934302,0.00105330759608268
0.122486461375093,9.99504082860767,0.00105430830235897
0.123620954373677,9.99494858420892,0.00105532795464051
0.124765955263087,9.99485462487685,0.00105636691752636
0.125921561369415,9.99475891876197,0.00105742556284578
0.127087870920206,9.99466143342453,0.00105850426980917
0.128264983052806,9.99456213582364,0.00105960342516239
0.129452997822792,9.99446099230617,0.00106072342334459
0.130652016212472,9.99435796859542,0.00106186466664959
0.131862140139475,9.9942530297797,0.00106302756539094
0.133083472465407,9.99414614030053,0.00106421253807075
0.134316117004602,9.99403726394079,0.00106542001155237
0.135560178532937,9.99392636381251,0.00106665042123697
0.136815762796747,9.99381340234457,0.00106790421124424
0.138082976521809,9.99369834127006,0.00106918183459722
0.139361927422414,9.99358114161349,0.00107048375341133
0.140652724210524,9.99346176367771,0.00107181043908785
0.14195547660501,9.99334016703064,0.00107316237251184
0.143270295340983,9.99321631049175,0.0010745400442546
0.144597292179202,9.99309015211823,0.00107594395478095
0.145936579915576,9.99296164919104,0.00107737461466123
0.14728827239075,9.9928307582005,0.0010788325447883
0.148652484499786,9.99269743483188,0.00108031827659964
0.150029332201922,9.99256163395051,0.00108183235230463
0.151418932530435,9.99242330958669,0.00108337532511717
0.152821403602587,9.99228241492042,0.00108494775949384
0.154236864629663,9.99213890226565,0.00108655023137763
0.155665435927106,9.99199272305447,0.00108818332844747
0.157107238924745,9.99184382782084,0.00108984765037369
0.158562396177114,9.99169216618411,0.00109154380907954
0.16003103137387,9.99153768683225,0.00109327242900903
0.161513269350309,9.99138033750469,0.00109503414740102
0.163009236097974,9.99122006497496,0.00109682961457008
0.164519058775366,9.99105681503295,0.00109865949419391
0.166042865718753,9.99089053246682,0.00110052446360785
0.167580786453077,9.99072116104472,0.00110242521410639
0.169132951702965,9.99054864349599,0.00110436245125199
0.170699493403841,9.99037292149216,0.00110633689519151
0.172280544713139,9.99019393562758,0.00110834928098015
0.173876240021625,9.99001162539966,0.00111040035891345
0.175486714964815,9.98982592918875,0.00111249089486729
0.177112106434509,9.98963678423775,0.00111462167064633
0.178752552590423,9.98944412663126,0.00111679348434089
0.180408192871938,9.98924789127437,0.00111900715069268
0.182079168009946,9.98904801187109,0.00112126350146956
0.183765620038817,9.98884442090239,0.00112356338584949
0.18546769230847,9.98863704960384,0.00112590767081412
0.187185529496558,9.98842582794287,0.00112829724155203
0.188919277620767,9.98821068459556,0.00113073300187208
0.190669084051225,9.98799154692307,0.00113321587462704
0.192435097523033,9.98776834094765,0.00113574680214787
0.194217468148903,9.98754099132824,0.00113832674668879
0.196016347431919,9.98730942133549,0.00114095669088365
0.197831888278416,9.98707355282655,0.00114363763821365
0.199664245010979,9.98683330621925,0.001146370613487
0.201513573381556,9.9865886004659,0.00114915666333059
0.203380030584698,9.98633935302658,0.00115199685669422
0.205263775270925,9.98608547984197,0.00115489228536756
0.207164967560207,9.98582689530569,0.00115784406451029
0.209083769055575,9.98556351223619,0.00116085333319579
0.21102034285686,9.98529524184807,0.00116392125496869
0.212974853574552,9.98502199372295,0.00116704901841668
0.214947467343798,9.9847436757798,0.00117023783775707
0.216938351838518,9.98446019424473,0.00117348895343838
0.218947676285662,9.98417145362029,0.00117680363275741
0.22097561147959,9.98387735665417,0.00118018317049229
0.223022329796594,9.98357780430741,0.00118362888955194
0.225088005209546,9.983272695722,0.0011871421416422
0.227172813302691,9.98296192818792,0.00119072430794951
0.229276931286565,9.9826453971096,0.00119437679984217
0.231400538013065,9.98232299597185,0.00119810105958995
0.233543813990648,9.98199461630508,0.00120189856110259
0.235706941399673,9.98166014765,0.00120577081068744
0.237890104107889,9.98131947752164,0.00120971934782714
0.240093487686065,9.98097249137284,0.00121374574597763
0.24231727942376,9.98061907255694,0.00121785161338716
0.244561668345245,9.98025910229001,0.00122203859393692
0.246826845225569,9.97989245961224,0.00122630836800383
0.249113002606779,9.9795190213488,0.00123066265334619
0.25142033481428,9.97913866206993,0.00123510320601274
0.253749037973357,9.97875125405043,0.00123963182127585
0.256099310025846,9.97835666722826,0.00124425033458958
0.258471350746956,9.9779547691627,0.00124896062257313
0.260865361762255,9.97754542499156,0.0012537646040206
0.263281546564802,9.97712849738773,0.00125866424093767
0.265720110532451,9.97670384651499,0.001263661539606
0.268181260945301,9.97627132998307,0.00126875855167619
0.270665207003324,9.97583080280188,0.00127395737528992
0.273172159844138,9.97538211733504,0.0012792601562324
0.275702332560958,9.97492512325255,0.00128466908911571
