freqs,H1,H2,H3,H1p,H2p,H3p
0.01,0.999606025807161,0.000832452655878307,0.00037245364656046,-0.0486714056685725,88.4671092151153,2.61403604542343
0.0101392540755882,0.999617087749347,0.000844123073361612,0.000372457199440725,-0.0493661427930945,89.2381007830332,2.65043169584876
0.0102804473209331,0.999628459626907,0.000856120711179893,0.000372460851967741,-0.0500712725533615,90.0086436248289,2.6873339220723
0.010423606739764,0.999640150115195,0.000868454741970533,0.000372464606936483,-0.0507869700463708,90.7785822442103,2.72474976784741
0.010568759711848,0.999652168131917,0.00088113459537811,0.000372468467220332,-0.0515134140908749,91.5477613765792,2.76268637456916
0.0107159339982267,0.999664522843868,0.000894169965248623,0.000372472435773279,-0.0522507873333618,92.3160261320177,2.80115098261525
0.0108651577465254,0.999677223673867,0.000907570817024704,0.000372476515632182,-0.0529992763577448,93.0832221372579,2.84015093270471
0.0110164594963366,0.999690280307871,0.000921347395347431,0.000372480709919097,-0.0537590717990066,93.8491956763034,2.87969366727472
0.0111698681846782,0.999703702702296,0.00093551023187046,0.000372485021843664,-0.0545303684608446,94.6137938293832,2.91978673187576
0.0113254131515281,0.999717501091531,0.000950070153292409,0.000372489454705569,-0.0553133654375626,95.3768646099172,2.96043777658523
0.0114831241454351,0.999731685995664,0.000965038289613548,0.000372494011897068,-0.0561082662403269,96.1382570991905,3.00165455743989
0.0116430313292088,0.999746268228424,0.000980426082623031,0.000372498696905585,-0.0569152789279832,96.8978215784348,3.04344493788719
0.011805165285688,0.999761258905326,0.000996245294623095,0.000372503513316386,-0.0577346162425988,97.6554096580314,3.08581689025586
0.0119695570235904,0.999776669452062,0.00101250801739678,0.000372508464815323,-0.058566495749924,98.4108744035618,3.12877849724584
0.0121362379834424,0.999792511613106,0.00102922668142599,0.000372513555191655,-0.0594111399849851,99.1640704584407,3.17233795343792
0.0123052400435926,0.99980879746056,0.00104641406536674,0.000372518788340954,-0.0602687766029624,99.9148541628869,3.21650356682321
0.0124765955263087,0.999825539403245,0.00106408330578888,0.000372524168268087,-0.0611396385356331,100.663083668996,3.26128376035271
0.012650337203959,0.99984275019604,0.00108224790718755,0.000372529699090284,-0.0620239641535377,101.408619051701,3.3066870735072
0.0128264983052806,0.999860442949477,0.00110092175227385,0.000372535385040292,-0.0629219974341382,102.151322415411,3.35272216388767
0.0130051125217341,0.999878631139597,0.00112011911255257,0.000372541230469617,-0.0638339881361827,102.891057996157,3.39939780882656
0.0131862140139475,0.999897328618077,0.00113985465919501,0.000372547239851859,-0.0647601919805375,103.627692259066,3.44672290702003
0.0133698374182495,0.99991654962264,0.00116014347421475,0.000372553417786136,-0.0657008708377526,104.361093991014,3.4947064801814
0.0135560178532937,0.999936308787734,0.00118100106195522,0.000372559769000612,-0.0666562929225846,105.091134388342,3.54335767471619
0.0137447909267754,0.999956621155525,0.00120244336089732,0.000372566298356118,-0.0676267329958296,105.817687139494,3.59268576341874
0.0139361927422414,0.999977502187166,0.00122448675579617,0.000372573010849873,-0.0686124725736835,106.54062850251,3.64270014719091
0.0141302599059953,0.999998967774393,0.00124714809015603,0.000372579911619317,-0.0696138001449763,107.259837377276,3.69341035678289
0.0143270295340983,1.00002103425143,0.00127044467905275,0.000372587005946049,-0.0706310113965929,107.975195372485,3.74482605455643
0.0145265392594678,1.0000437184072,0.00129439432231341,0.000372594299259867,-0.0716644094473729,108.686586867256,3.79695703627077
0.014728827239075,1.00006703749792,0.00131901531806297,0.000372601797142937,-0.0727143050908814,109.393899067396,3.84981323289144
0.0149339321612425,1.00009100925997,0.00134432647664807,0.000372609505334068,-0.0737810170473643,110.097022056297,3.90340471242215
0.0151418932530435,1.00011565192317,0.00137034713494852,0.000372617429733107,-0.0748648722252707,110.795848840463,3.95774168176014
0.0153527502878042,1.00014098422436,0.001397097171087,0.000372625576405466,-0.0759662059927382,111.490275389719,4.01283448857499
0.0155665435927106,1.00016702542142,0.00142459701954812,0.000372633951586769,-0.0770853624594231,112.180200672116,4.06869362321142
0.0157833140565212,1.00019379530762,0.00145286768671811,0.000372642561687631,-0.0782226947690803,112.865526683599,4.125329720616
0.016003103137387,1.00022131422633,0.00148193076685662,0.000372651413298574,-0.0793785654033758,113.546158472516,4.1827535622883
0.0162259528707809,1.00024960308624,0.00151180845851276,0.000372660513195075,-0.0805533464973218,114.222004159026,4.24097607825646
0.0164519058775366,1.00027868337684,0.0015425235813974,0.000372669868342767,-0.081747420166843,114.892974949531,4.30000834907759
0.0166810053720006,1.00030857718443,0.00157409959372444,0.000372679485902775,-0.0829611788489193,115.558985146217,4.35986160786312
0.0169132951702965,1.00033930720856,0.00160656061003396,0.000372689373237206,-0.0841950256548839,116.21995215182,4.42054724232942
0.0171488196987054,1.0003708967788,0.00163993141951037,0.000372699537914798,-0.0854493747373067,116.875796469771,4.48207679687379
0.0173876240021625,1.0004033698721,0.0016742375048094,0.000372709987716721,-0.0867246516710885,117.526441699816,4.54446197467618
0.0176297537528721,1.00043675113055,0.00170950506140764,0.000372720730642546,-0.0880212938493175,118.171814529292,4.60771463982678
0.0178752552590424,1.00047106587957,0.00174576101748928,0.000372731774916377,-0.0893397508944355,118.811844720189,4.67184681947971
0.0181241754737424,1.0005063401467,0.00178303305438454,0.000372743128993163,-0.0906804850854077,119.446465092159,4.73687070603301
0.0183765620038817,1.00054260068079,0.00182134962757506,0.000372754801565181,-0.0920439718014614,120.075611501643,4.80279865933525
0.0186324631193156,1.00057987497177,0.00186073998828182,0.000372766801568705,-0.093430699983115,120.699222817276,4.86964320891879
