freqs,H1,H2,H1p,H2p
0.1,0.999059450068901,0.00103469573350562,-0.0247194047724368,24.6185913765339
0.100926219098705,0.999060532885742,0.00103537044546482,-0.0249464797506172,24.8427322181604
0.101861017015598,0.999061635909146,0.00103605786326315,-0.0251756052610989,25.0688423526693
0.102804473209331,0.999062759517203,0.00103675822886149,-0.0254067988221703,25.2969371255945
0.103756667874519,0.999063904095128,0.00103747178910683,-0.0256400780732032,25.5270319432811
0.104717681948552,0.999065070035469,0.00103819879544609,-0.02587546077461,25.7591422815082
0.10568759711848,0.999066257738034,0.00103893950437836,-0.0261129648077682,25.9932836747474
0.106666495827954,0.999067467610251,0.0010396941773571,-0.0263526081749696,26.2294717199263
0.107654461284232,0.999068700067141,0.00104046308096888,-0.0265944089992571,26.4677220728059
0.108651577465254,0.99906995553168,0.00104124648694002,-0.0268383855242847,26.7080504490922
0.109657929126781,0.999071234434672,0.00104204467239263,-0.027084556114122,26.9504726186402
0.110673601809597,0.999072537215089,0.00104285791982735,-0.0273329392529865,27.1950044072166
0.111698681846782,0.999073864320179,0.00104368651728114,-0.0275835535450005,27.4416616934131
0.112733256371049,0.999075216205625,0.00104453075848783,-0.0278364177138442,27.6904604054331
0.113777413322149,0.999076593335726,0.00104539094286467,-0.0280915506024397,27.941416522886
0.114831241454351,0.999077996183481,0.00104626737576391,-0.0283489711724711,28.1945460709122
0.115894830343981,0.999079425230839,0.00104716036854557,-0.0286086985040242,28.4498651195631
0.116968270397039,0.999080880968864,0.0010480702386767,-0.0288707517950088,28.7073897822996
0.118051652856881,0.999082363897858,0.0010489973098826,-0.0291351503606925,28.9671362130823
0.119145069811978,0.999083874527592,0.00104994191224965,-0.0294019136329994,29.2291206048335
0.120248614203741,0.999085413377464,0.00105090438240392,-0.0296710611599747,29.4933591857067
0.121362379834424,0.999086980976665,0.00105188506363229,-0.0299426126050113,29.7598682169289
0.122486461375093,0.999088577864384,0.00105288430598432,-0.030216587746106,30.0286639914282
0.123620954373677,0.999090204590036,0.0010539024664552,-0.0304930064750453,30.2997628298884
0.124765955263087,0.999091861713377,0.00105493990905275,-0.0307718887965735,30.573181080481
0.125921561369415,0.999093549804821,0.00105599700508461,-0.031053254827358,30.8489351115694
0.127087870920206,0.999095269445429,0.0010570741332125,-0.0313371247950727,31.127041311924
0.128264983052806,0.99909702122743,0.00105817167958258,-0.0316235190373428,31.4075160884627
0.129452997822792,0.999098805754159,0.00105929003803472,-0.0319124580005352,31.6903758615491
0.130652016212472,0.999100623640382,0.00106042961028056,-0.0322039622386062,31.9756370611353
0.131862140139475,0.999102475512535,0.00106159080603141,-0.0324980524118391,32.2633161248082
0.133083472465407,0.999104362008922,0.00106277404311831,-0.0327947492854696,32.5534294959989
0.134316117004602,0.999106283779928,0.00106397974779561,-0.033094073728254,32.845993616059
0.135560178532937,0.999108241488286,0.0010652083548064,-0.033396046710997,33.1410249244143
0.136815762796747,0.999110235809241,0.00106646030760136,-0.0337006893049184,33.4385398536314
0.138082976521809,0.999112267430935,0.00106773605852989,-0.0340080226800107,33.7385548252626
0.139361927422414,0.999114337054522,0.00106903606900933,-0.0343180681033367,34.0410862467629
0.140652724210524,0.999116445394431,0.00107036080974338,-0.0346308469370338,34.3461505064536
0.14195547660501,0.999118593178751,0.00107171076089297,-0.0349463806365205,34.6537639703437
0.143270295340983,0.999120781149327,0.00107308641226612,-0.0352646907483727,34.9639429784682
0.144597292179202,0.999123010062122,0.00107448826360759,-0.0355857989082563,35.2767038373124
0.145936579915576,0.999125280687465,0.00107591682468314,-0.0359097268385972,35.5920628201193
0.14728827239075,0.999127593810398,0.00107737261563834,-0.0362364963463423,35.9100361569808
0.148652484499786,0.99912995023077,0.00107885616709424,-0.0365661293204282,36.2306400347856
0.150029332201922,0.999132350763792,0.00108036802044634,-0.0368986477292657,36.5538905896977
0.151418932530435,0.999134796240108,0.0010819087280398,-0.0372340736180622,36.8798039043882
0.152821403602587,0.99913728750622,0.00108347885352879,-0.0375724291060117,37.2083959980793
0.154236864629663,0.999139825424794,0.0010850789719591,-0.0379137363834039,37.5396828277322
0.155665435927106,0.999142410874844,0.00108670967012692,-0.0382580177085039,37.8736802782263
0.157107238924745,0.999145044752238,0.00108837154680663,-0.0386052954045216,38.2104041580335
0.158562396177114,0.999147727969957,0.00109006521295236,-0.0389555918561811,38.5498701959936
0.16003103137387,0.99915046145835,0.00109179129210082,-0.039308929506344,38.8920940299345
0.161513269350309,0.999153246165466,0.00109355042052337,-0.0396653308523664,39.2370912057566
0.163009236097974,0.999156083057684,0.00109534324752658,-0.0400248184424976,39.5848771706671
0.164519058775366,0.999158973119689,0.00109717043578918,-0.0403874148718166,39.9354672647913
0.166042865718753,0.999161917354996,0.00109903266161469,-0.0407531427783608,40.2888767165847
0.167580786453077,0.999164916786408,0.00110093061527113,-0.0411220248388537,40.6451206346794
0.169132951702965,0.999167972456262,0.00110286500121133,-0.0414940837643515,41.0042140052272
0.170699493403841,0.999171085426898,0.00110483653848305,-0.0418693422957517,41.3661716808429
0.172280544713139,0.999174256780959,0.00110684596104203,-0.0422478231990476,41.7310083741912
0.173876240021625,0.99917748762187,0.00110889401804163,-0.0426295492604561,42.0987386527576
0.175486714964815,0.999180779074227,0.00111098147414959,-0.0430145432814382,42.469376932806
0.177112106434509,0.999184132284251,0.00111310911001852,-0.0434028280732949,42.8429374661898
0.178752552590423,0.999187548420116,0.00111527772249459,-0.0437944264518356,43.2194343398059
0.180408192871938,0.999191028672439,0.00111748812507924,-0.0441893612317331,43.5988814634411
